,43210,53210,54210,54310,54320,54321
0,37.0,27.0,44.0,36.0,47.0,24.0
20000,,,21.0,21.0,31.0,
2000,0.0,,,,0.0,
22000,,,,,0.0,
100,0.0,0.0,0.0,,,
20100,0.0,0.0,,,,
1100,0.0,0.0,0.0,0.0,,
11100,0.0,0.0,,,,0.0
21100,0.0,0.0,,,,
2100,0.0,0.0,0.0,,,
12100,0.0,0.0,0.0,0.0,,
22100,0.0,,,,,
200,0.0,,0.0,0.0,32.0,
20200,,,,,24.0,
1200,,,0.0,0.0,0.0,
11200,,0.0,,,0.0,0.0
12200,,,,,0.0,
22200,,,,,0.0,
20010,0.0,0.0,0.0,0.0,,0.0
2010,0.0,,,,0.0,
110,0.0,,,,0.0,
20110,,,,,,0.0
11110,,0.0,,,0.0,0.0
21110,,,,,,0.0
2110,0.0,,,,,0.0
12110,,0.0,,0.0,,
22110,,,,,,0.0
210,0.0,,,,0.0,0.0
1210,,,,,0.0,0.0
11210,,,,,0.0,0.0
21210,,,,,,0.0
12210,,,,,0.0,
20,43.0,31.0,44.0,30.0,0.0,
20020,0.0,24.0,37.0,37.0,25.0,
2020,35.0,25.0,0.0,22.0,0.0,
12020,,0.0,,0.0,,
22020,0.0,27.0,0.0,21.0,0.0,
120,,0.0,,,,
1120,,,,,,0.0
11120,,0.0,,,,0.0
21120,,,,,,0.0
12120,,0.0,,,,
220,23.0,20.0,0.0,31.0,,
10220,,,0.0,0.0,0.0,
20220,27.0,28.0,31.0,25.0,0.0,
11220,,0.0,,,,
2220,0.0,0.0,23.0,,,
12220,,0.0,0.0,0.0,0.0,
22220,27.0,29.0,37.0,38.0,23.0,
11001,,0.0,0.0,0.0,0.0,0.0
21001,0.0,,,,,0.0
12001,0.0,0.0,,,,0.0
22001,,,,,,0.0
11101,0.0,0.0,0.0,0.0,,0.0
21101,,0.0,0.0,0.0,,
2101,0.0,0.0,0.0,0.0,,
12101,0.0,0.0,0.0,,,0.0
22101,0.0,0.0,,,,0.0
10201,,,,,,0.0
20201,,,,,,0.0
1201,,0.0,0.0,0.0,0.0,0.0
11201,0.0,0.0,0.0,0.0,0.0,0.0
21201,0.0,0.0,0.0,0.0,,
2201,,,,,0.0,
12201,0.0,,,,0.0,
10011,0.0,0.0,0.0,0.0,,0.0
20011,0.0,0.0,,,,0.0
11011,,0.0,0.0,0.0,,
21011,0.0,,,,,
2011,,0.0,0.0,0.0,,0.0
12011,0.0,0.0,,,,
11111,32.0,28.0,45.0,36.0,53.0,31.0
21111,,,,,22.0,
12111,0.0,0.0,,,,
211,,0.0,,,0.0,
10211,,,,0.0,0.0,0.0
11211,,,,20.0,26.0,0.0
21211,,,,,34.0,
2211,,,,,0.0,
12211,,,,,0.0,
10021,0.0,,,,,0.0
20021,,,,,,0.0
1021,,,0.0,0.0,,0.0
11021,,,0.0,,,
2021,,,0.0,,,
11121,41.0,29.0,43.0,43.0,25.0,
21121,,20.0,49.0,34.0,0.0,
2121,,,0.0,0.0,,
12121,44.0,21.0,0.0,,,
22121,0.0,34.0,,,,
1221,,,0.0,0.0,0.0,
11221,28.0,23.0,31.0,26.0,,
21221,0.0,0.0,36.0,49.0,28.0,
2221,,0.0,0.0,0.0,0.0,
12221,32.0,0.0,0.0,0.0,0.0,
22221,28.0,42.0,35.0,31.0,22.0,
2,,,,,,29.0
20002,,,,,,0.0
1002,,,,,0.0,0.0
2002,,,,,0.0,0.0
22002,,,,,21.0,25.0
102,0.0,,0.0,,,
20102,,,,0.0,,
1102,0.0,,0.0,,,
21102,0.0,0.0,0.0,0.0,,
2102,0.0,,0.0,,,
22102,0.0,,0.0,0.0,0.0,0.0
202,,,,,,0.0
10202,,,,,,0.0
20202,,,,,,0.0
1202,0.0,,,,0.0,0.0
11202,,,,,,0.0
21202,,,,,0.0,
2202,,,,,21.0,29.0
22202,,,,,40.0,52.0
10012,0.0,0.0,0.0,0.0,,
20012,0.0,0.0,,,,
1012,0.0,,0.0,0.0,,
11012,0.0,,0.0,,,
21012,0.0,,0.0,,,
2012,,,,,0.0,0.0
12012,0.0,,,,,
22012,,,,,23.0,26.0
112,0.0,,,,0.0,
10112,,,,,,0.0
11112,,,,,,25.0
21112,,,,,,23.0
2112,,,,,0.0,0.0
22112,,,,,0.0,0.0
10212,,,,,0.0,0.0
11212,,,,,,0.0
21212,,,,,,33.0
12212,,,,,0.0,0.0
22212,,,,,42.0,54.0
22,,0.0,,,,0.0
20022,31.0,20.0,,,,23.0
1022,,,0.0,,,0.0
21022,24.0,0.0,,,,
2022,,0.0,38.0,32.0,20.0,32.0
12022,0.0,,,,,
22022,61.0,42.0,66.0,100.0,69.0,79.0
10122,,,,0.0,0.0,
20122,27.0,28.0,,0.0,,
1122,,,,0.0,,
11122,,,,,,23.0
21122,0.0,0.0,0.0,0.0,,0.0
2122,,,,0.0,,
12122,,0.0,0.0,21.0,0.0,21.0
22122,53.0,51.0,69.0,62.0,44.0,57.0
222,,0.0,,,,
10222,,,0.0,0.0,0.0,0.0
20222,85.0,76.0,31.0,26.0,20.0,29.0
1222,,,0.0,0.0,0.0,0.0
11222,,0.0,,,,
21222,62.0,55.0,32.0,26.0,0.0,38.0
2222,27.0,24.0,42.0,40.0,26.0,25.0
12222,20.0,23.0,37.0,33.0,0.0,26.0
22222,303.0,303.0,371.0,344.0,276.0,307.0
